id,Pavadinimas,Nuotraukos URL,Kategorijos
1,Vokietijoje – tikra audra dėl DHL lėktuvo katastrofos Vilniuje: dominuoja 3 skambios versijos,https://media.lrytas.lt/images/2024/11/26/151521241-4f90946f-6f39-4f45-afbf-ab5ef0b8d179.jpg,Pasaulis
2,Po lėktuvo katastrofos dalis vilniečių sulaukė specialių pranešimų: štai kas juos gavo,https://media.lrytas.lt/images/2024/11/26/151108583-526f2da3-c988-4b0e-9660-8a55297abe5c.jpg,Auto
3,"V. Janulevičius: norint priduoti pastatą ar gamyklą Lietuvoje tenka pereiti kryžiaus kelius, kol tave panardina į depresinę nuotaiką",https://media.lrytas.lt/images/2024/11/19/140740777-eea9260c-8ec7-485d-bbfe-c887e4aadeee.jpg,Verslas
4,Netikėta žinia medikams sukėlė šoką: pacientai aimanuos eilėje dėl svarbių tyrimų,https://media.lrytas.lt/images/2024/11/26/161158442-73b0c46f-a6f1-4928-a9e8-7f078a14d49a.jpg,Sveikata
5,Aviacijos ekspertas įvertino Vilniuje nukritusio orlaivio modelį ir metus: ar tai galėjo turėti įtakos avarijai?,https://media.lrytas.lt/images/2024/11/26/112046353-cfeb0d71-2644-4915-b23d-79cb75c7d268.jpg,It ir mokslas
6,Naujausia žinia apie lėktuvo katastrofą Vilniuje: pereinama į kitą etapą,https://media.lrytas.lt/images/2024/11/26/093545578-9ae7ac47-2fa8-4dd5-a54a-a7717ffa90ef.jpg,Lietuvos diena
7,"Neregės Ievos kelionė tapo košmaru: neįleista į lėktuvą Lietuvą pasiekė po kelių parų, prireikė skubios medikų pagalbos",https://media.lrytas.lt/images/2024/11/26/121559079-a5e2baf0-af06-4c37-b9e5-036ca920c112.jpg,Bendraukime
8,Europos čempionas prieštaravo lyg žaibas trenkusiai naujienai: „Esu prieš tokius dalykus“,https://media.lrytas.lt/images/2024/11/26/130638335-9b449784-81b9-4229-8010-2a93e2d62867.jpg,Sportas
9,Nelengva D. Russello asmenybė – vieša trenerių kritika ir atskyrimas nuo komandos,https://media.lrytas.lt/images/2024/11/26/145954240-9ead7339-ad9d-4018-b0f1-3501595cb99f.jpg,Sportas
10,"Turtingiausių Lietuvos žmonių sąraše pirmauja G. Žiemelis, figūruoja ir liūdnai pagarsėjęs V. Germanas",https://media.lrytas.lt/images/2024/11/26/160725783-0ee3ee12-ff60-4516-90c9-011e372d4894.jpg,Verslas
