Pavadinimas,Nuotraukos URL,Kategorijos
"['Protestas prie Seimo: susirinkusi didžiulė minia nušvilpė G. Palucką, skandavo „Gėda!“ ', ' (15) ']",[],['Lietuvos diena']
"['Po pavojingų gaisrų sąvartynuose – priminimas ir patiems gyventojams, ko šiukštu nedaryti ', ' (1) ']",['https://media.lrytas.lt/images/2024/11/14/200213729-8f1e3440-18e3-41c1-a706-f54f54719c16.jpg'],['Verslas']
[],[],[]
"['I. Šimonytė negali atsistebėti socialdemokratais: pasirodo, klydau   ', ' (5) ']",['https://media.lrytas.lt/images/2024/11/21/171501725-c55dcf25-34f5-4b05-a393-66b2c120d437.jpg'],['Lietuvos diena']
"['Merūnas Vitulskis – apie tai, prie ko jį yra privedęs pervargimas: „Tragedija“ ']",[],['Laidos']
['Kaune užsidegė itin toksiškos medžiagos: gesinti teko smėliu  '],['https://media.lrytas.lt/images/2024/11/21/181635645-17a943a7-826d-4d12-9294-2940dd72f664.jpg'],['Gamta']
"['Karas Ukrainoje. Karingoje V. Putino kalboje – grąsinimai Vakarams: „Maskva turi teisę smogti šalims, kurių ginkluotę Ukraina naudoja“ ', ' (6) ']",[],['Pasaulis']
['R. Kurtinaičio debiutas – pergalingas: Lietuvos rinktinė susitvarkė su Šiaurės Makedonija '],[],['Sportas']
"['Negalėjo patikėti, kuo baigsis automobilio pirkimas iš „Mercedes-Benz“ atstovybės: situacija virto „neįtikėtinu košmaru“ ', ' (6) ']",['https://media.lrytas.lt/images/2024/11/21/115051803-ab0947e7-733c-471a-a3ba-5f9feb937dd9.jpg'],['Auto']
"['Garsus Kauno pedofilas Ervydas Čekanavičius nuvežtas į ligoninę: rastas gulintis prie namo, į kurį viliodavo vaikus ']",['https://media.lrytas.lt/images/2024/11/21/161546615-cef6e364-2938-4358-9e75-4a63f8afa826.jpg'],['Lietuvos diena']
"['Neurologas J. Fišas pasakė, kaip pagerinti smegenų kraujotaką: ypač svarbūs šie vitaminai ']",['https://media.lrytas.lt/images/2024/11/14/143218881-5e299623-398a-4dd8-be68-a0fdf4ef4ff0.jpg'],['Sveikata']
['Dalios Grybauskaitės namų kieme – pasakiško grožio žaliaskarė: sulaukė tūkstančių dėmesio '],['https://media.lrytas.lt/images/2024/11/21/170741223-8dbd03de-fbf3-4450-998f-804899be3944.jpg'],['Stilius']
['Pirmą kartą įžengus į šį būstą apėmė liudesys – dabar tai ramybe ir medžiu kvepiantys namai '],['https://media.lrytas.lt/images/2024/11/21/124729769-cebdf94c-83ad-445d-86e9-20e7a4b9e099.jpg'],['Būstas']
['Atsisveikinti su Andriumi Kulikausku rinkosi žinomi meno ir visuomenės veikėjai '],['https://media.lrytas.lt/images/2024/11/21/121231122-3e0fa842-69a6-4783-ae90-88a2c6f59068.jpg'],['Žmonės']
"['Apie asmeninį gyvenimą neatviraujantis E. Dragūnas-Selas prabilo apie mylimąją: „Ne taip, kaip anksčiau“ ', ' (1) ']",['https://media.lrytas.lt/images/2024/11/21/164626979-aeb42af6-34a6-4093-bfd9-db2fed7caf33.jpg'],['Žmonės']
"['Avižų košė gali būti pavojinga sveikatai: štai kodėl jos nerekomenduojama valgyti ', ' (3) ']",['https://media.lrytas.lt/images/2024/11/20/181550762-7c4ef803-8d91-4db6-8046-32fd74a079f0.jpg'],['Skonis']
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
"['Po kritikos bangos Kauno savivaldybei aiškėja liūdnai pagarsėjusio plikledžio padariniai: vienai avarijų aukų amputuota dalis kojos ', ' (1) ']",['http://media.lrytas.lt/images/2024/11/21/151632592-1c2ae44a-f224-4871-b39f-32e6b629342b.jpg'],['Lietuvos diena']
['J. Kazlausko fenomenas – pergales skynusių auklėtinių akimis: „Žmogus iš didžiosios raidės“ '],['http://media.lrytas.lt/images/2024/11/20/184100698-92b80634-049b-4f47-b3c6-27999cb53d5d.jpg'],['Sportas']
['„Twinsbet“ arena trankiai atšventė 20-ąjį jubiliejų: šimtai kviestinių svečių ir žvaigždžių šėlionės '],['http://media.lrytas.lt/images/2024/11/21/134454284-5c32bf3f-329b-4cc0-ad71-cb394de6974a.jpg'],['Žmonės']
['Daugiau nei pusė milijono lietuvių permoka už elektrą: valdžia kaltina pačius gyventojus '],['http://media.lrytas.lt/images/2024/11/21/130423180-2705e9ce-bf11-4851-a7e5-5062e9880952.jpg'],['Verslas']
"['Rusija pirmą kartą atakavo Ukrainą tarpžemynine balistine raketa ', ' (8) ']",['http://media.lrytas.lt/images/2024/11/21/084521584-d9cf765d-04a4-44eb-a068-bd0202909d50.jpg'],['Pasaulis']
['Kauniečius neramino naktį ratus sukantis sraigtasparnis: Lietuvos kariuomenė pateikė paaiškinimą '],['http://media.lrytas.lt/images/2024/11/20/130354894-6771addd-bdcd-4424-995a-8afd99f889ac.jpg'],['Bendraukime']
['„Daugelyje šalių uždraustas“: Ukraina gaus pavojingą amerikietišką ginklą '],['http://media.lrytas.lt/images/2024/11/21/125113537-8ff9970b-63f8-449e-ad6d-a9787966a6ec.jpg'],['It ir mokslas']
"['Vakare vartotės lovoje? Vaistininkė pasakė, kas slopina miego hormono gamybą ']",['http://media.lrytas.lt/images/2024/11/20/065929611-d7a59f44-b21d-4158-8fcf-1d32bd6f7074.jpg'],['Sveikata']
"['Wok makaronai su vištiena – vos vienas šaukštelis slapto ingrediento ir mėsa iškeps ypač minkšta ', ' (1) ']",['http://media.lrytas.lt/images/2024/11/21/130212371-7df74b33-6cf0-46f3-9431-4f444fe6113f.jpg'],['Skonis']
['Už išskirtinius nuopelnus vaikų gerovei įteikti šių metų „Geriausio vaiko draugo“ apdovanojimai '],['http://media.lrytas.lt/images/2024/11/21/122629372-f4d29806-4f2e-4cbd-81c3-c1fa2ef2e4bf.jpg'],['Tėvams']
"['SBA „Vėjo miesteliui“ – dar 1,8 mln. eurų: sėkmingai išplatinta antroji obligacijų emisijos dalis ']",['http://media.lrytas.lt/images/2024/11/21/122737564-71badfd9-09bb-447c-96c8-dd80e0cf8288.jpg'],['Būstas']
['Į Valdovų rūmus atkeliavę S.Botticelli ir Tiziano paveikslai slepia garsių tapytojų meilės nuotykius '],['http://media.lrytas.lt/images/2024/11/21/083618629-9dff1fbb-ae54-485f-bc82-577bce2da732.jpg'],['Kultūra']
['Perspėja dalies Lietuvos gyventojus: laukia „žiemos reiškinių kompleksas“ '],['http://media.lrytas.lt/images/2024/11/21/141608303-752e57d2-8192-4062-9447-c4977fdeadcb.jpg'],['Gamta']
"['3 vyrai pagal Zodiako ženklą, nemokantys rodyti švelnumo ']",['http://media.lrytas.lt/images/2024/11/12/101102643-3ef05b74-0603-4fda-9348-6384aa16ce9d.jpg'],['Gyvenimo būdas']
['J. Kazlausko 70-metis: kadruose – Lietuvos krepšinio legendos karjeros ir gyvenimo vingiai '],['https://media.lrytas.lt/images/2024/11/20/185515854-5fbf6d1e-0013-46fa-bf58-2e759c37b233.png'],['Sportas']
['Plaukų aksesuarų pristatyme – retai renginiuose matomi žinomi veidai '],['http://media.lrytas.lt/images/2024/11/21/072804876-f97183d7-d1fa-4e52-8ce4-4c795f8e8baa.jpg'],['Stilius']
['Vos 6 mėn. švelnus ir žaismingas kačiukas – paženklintas visam gyvenimui: ieško supratingos širdies '],['http://media.lrytas.lt/images/2024/11/18/091422176-4b5f181a-89a6-478e-83d1-f5b691a9fa6f.jpg'],['Augintinis']
"['Reido metu pareigūnai anuliavo technines apžiūras: vairuotojus ragina atlikti šį darbą kuo greičiau ', ' (3) ']",['http://media.lrytas.lt/images/2024/11/20/071855058-7428ff9f-d5f3-4b38-8d53-60bbd7f1e1ba.jpg'],['Auto']
['Prie Seimo – antroji protesto banga prieš koaliciją su „Nemuno aušra“: G. Paluckui įteikta nuvytusių rožių puokštė '],[],[]
['I. Degutienė įvertino naująją koaliciją: „Ilgai neišsilaikys“ '],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
"['Po kritikos bangos Kauno savivaldybei aiškėja liūdnai pagarsėjusio plikledžio padariniai: vienai avarijų aukų amputuota dalis kojos ', ' (1) ']",['https://media.lrytas.lt/images/2024/11/21/151632592-1c2ae44a-f224-4871-b39f-32e6b629342b.jpg'],['Lietuvos diena']
"['Virš Seimo narių galvų – Izraelio vėliavos: D. Lupshitzas ir V. Bartkevičius sulaukė VAT dėmesio ', ' (27) ']",['https://media.lrytas.lt/images/2024/11/21/083046595-a83d9962-caf2-46f9-b8ec-b3af6dbd6363.jpg'],['Lietuvos diena']
"['Generalinė prokurorė kreipėsi į Seimą dėl R. Žemaitaičio neliečiamybės: jis šiurkščiai menkino Holokaustą ', ' (31) ']",['https://media.lrytas.lt/images/2024/11/21/121951235-c2423adf-ba1b-4d2b-b8e2-d325cd88db1f.jpg'],['Lietuvos diena']
"['Po G. Palucko susitikimo su G. Nausėda – pirmosios kandidatų į ministrus pavardės ', ' (11) ']",['https://media.lrytas.lt/images/2024/11/21/120200801-d64aa3c8-f751-4017-b250-fd272f0c6d60.jpg'],['Lietuvos diena']
"['Į sveikatos apsaugos ministrus siūlytas E. Navickas atsisakė šių pareigų ', ' (4) ']",['https://media.lrytas.lt/images/2024/11/21/122355033-6f57518e-673b-4f3e-b2b6-1f4057a8a886.jpeg'],['Lietuvos diena']
"['I. Vėgėlės pageidavimas galiausiai patenkintas, bet gaus ir „siurprizą“ – A. Širinskienę ', ' (1) ']",['https://media.lrytas.lt/images/2024/11/21/090630741-a1d9ee86-aedc-4f72-a5c5-c620d12019b9.jpg'],['Lietuvos diena']
"['I. Šimonytė susilaiko nuo komentarų apie naująjį Ministrų kabinetą: linkiu tiems žmonėms sėkmės ', ' (5) ']",['https://media.lrytas.lt/images/2024/11/21/134509420-ec23d7cb-e715-47e3-ab80-6947cbe52674.jpg'],['Lietuvos diena']
['Ant tilto per Nerį Nemenčinėje vertėsi priekabą su kita mašina traukęs „Audi“ – vienam vyrui prireikė medikų '],['https://media.lrytas.lt/images/2024/11/21/120108392-a5761f58-4abe-4af9-960f-3b4571ffe6d6.jpg'],['Lietuvos diena']
"['I. Šimonytė sureagavo į R. Žemaitaičiui pradėtą ikiteisminį tyrimą: kažkur turi būti ribos ', ' (2) ']",['https://media.lrytas.lt/images/2024/11/21/133815273-b99fc268-65e5-4400-a186-9b33bfce07c0.jpg'],['Lietuvos diena']
"['Lietuva turi naują premjerą: G. Paluckas išlaikė Seimo egzaminą ', ' (18) ']",['https://media.lrytas.lt/images/2024/11/21/101558520-36efaac8-3cd8-498c-9906-a6631110bf84.jpg'],['Lietuvos diena']
['Daugiau nei pusė milijono lietuvių permoka už elektrą: valdžia kaltina pačius gyventojus '],['https://media.lrytas.lt/images/2024/11/21/130423180-2705e9ce-bf11-4851-a7e5-5062e9880952.jpg'],['Verslas']
['Kitų metų valstybės biudžeto spragos nepraslydo pro naujojo Seimo akis: teko grąžinti Vyriausybei '],['https://media.lrytas.lt/images/2024/11/21/121931327-1e8d6e1c-89fc-4797-9af2-a5f450df1e85.jpg'],['Verslas']
['Kandidatė į socialinės apsaugos ir darbo ministres I. Ruginienė: vienas pirmųjų darbų – antros pensijų pakopos pertvarka '],['https://media.lrytas.lt/images/2024/11/21/123721822-aa3a4973-8e71-4e15-bb4c-57152a7522ac.jpg'],['Verslas']
"['Vilnietė papasakojo, su kuo tenka susidurti pakliuvus į pensijų fondus: jei tik galėtų, kaupimą sustabdytų iškart ', ' (7) ']",['https://media.lrytas.lt/images/2024/11/15/133023922-9487fe9b-765d-4dee-8f16-0c603d2f4043.jpg'],['Verslas']
